date,trades_count,total_notional_usd,avg_pnl,median_pnl,profitable_trades,profitable_ratio,classification,value
2023-03-28,3,477.0,0.0,0.0,0,0.0,Greed,59.0
2023-11-14,1045,11555429.76,0.1488070401913875,0.0,287,0.27464114832535885,Greed,69.0
2024-03-09,6962,39406770.25,25.418772159436944,0.0,3412,0.49008905486929044,Extreme Greed,84.0
2024-07-03,7141,21843234.35,22.229712656210616,0.0,2265,0.3171824674415348,Neutral,50.0
2024-10-27,35241,103947765.09,90.50427150248291,0.0,15915,0.4516046650208564,Greed,74.0
2025-02-19,133871,704158492.98,50.047621894017375,0.0,55576,0.41514592406122314,Fear,44.0
2025-06-15,26961,310275273.03,2.6597436161121624,0.0,9414,0.34917102481361967,,
